,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cruise Ship,Cuba,Curacao,Cyprus,Czech Republic,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Guiana,Gabon,Gambia,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,MS Zaandam,Macao SAR,Macau,Madagascar,Mainland China,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Ireland,North Macedonia,Norway,Oman,Others,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Ireland,Republic of Korea,Republic of Moldova,Republic of the Congo,Reunion,Romania,Russia,Russian Federation,Rwanda,Saint Barthelemy,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,St. Martin,Sudan,Suriname,Sweden,Switzerland,Syria,Taipei and environs,Taiwan,Taiwan*,Tanzania,Thailand,The Bahamas,The Gambia,Timor-Leste,Togo,Trinidad and Tobago,Tunisia,Turkey,UK,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,US,Uzbekistan,Vatican City,Venezuela,Viet Nam,Vietnam,West Bank and Gaza,Zambia,Zimbabwe,occupied Palestinian territory
2021-01-01,51526,58316,99897,8117,17568,159,1629594,159738,0,28460,362911,219041,7887,0,92913,514500,395,196223,648289,10776,3251,689,160985,112143,14805,7700578,157,202540,6828,125042,822,11872,379,26848,585400,0,0,4963,2141,0,612564,96023,1654880,7107,17849,169321,22563,212007,0,12056,0,22818,0,732022,166567,712,5840,88,172218,0,213378,139471,45960,5277,1252,28406,9482,124652,0,49,36403,2697014,0,9571,3800,0,228410,1762637,54930,0,139447,0,127,0,0,138236,0,13738,2452,6348,10015,27,122974,0,0,325278,5754,10286709,751270,1231429,0,596193,93532,428510,2129376,0,12915,239068,0,295765,202060,96614,62593,51502,150869,81156,41,41615,183888,1779,100744,2175,143903,46415,9,0,0,17714,0,115078,13804,7203,12909,0,14581,527,0,1437185,145258,885,1242,48589,440970,18794,24545,261019,816616,2162,6046,3403,88587,0,83743,49803,128867,0,484362,0,249733,780,108349,1015137,475820,1305774,420629,0,144042,0,0,0,0,0,636201,3153960,0,8460,0,32,353,0,121,2428,362878,19364,339997,275,2635,58629,184508,123950,4714,1073887,0,1928265,43856,0,23316,6277,437379,452296,11526,0,0,802,509,7379,0,0,44,3662,7158,140557,2220855,0,35511,1096855,209678,2549689,19753,20128693,77182,0,113884,0,1474,139223,20997,14084,0
2021-01-02,51526,58991,100159,8166,17608,159,1634834,159798,0,28484,364302,219462,7887,0,93184,515184,395,198125,649169,10807,3251,710,162055,112143,14805,7716405,157,202880,6940,125616,822,11883,381,26848,589935,0,0,4963,2169,0,615902,96086,1666408,7107,17998,169321,22563,212262,0,12225,0,23445,0,735469,168182,712,5841,88,172965,0,214513,140878,45960,5277,1252,28789,9711,125049,0,49,36604,2700480,0,9571,3800,0,228752,1773540,55064,0,139709,0,127,0,0,138316,0,13784,2452,6351,10077,27,123144,0,0,326688,5754,10323965,758473,1237474,0,597033,96926,434799,2141201,0,12931,242097,0,296668,202880,96678,63244,51502,151074,81214,41,41929,186408,1779,100744,2202,145399,46415,9,0,0,17767,0,117373,13834,7226,12997,0,14677,527,0,1443544,145694,901,1263,48856,442141,18968,24654,261438,825249,2181,6046,3437,89163,0,83789,50266,128867,0,486634,0,251764,780,108718,1015137,476916,1312780,423870,0,144240,0,0,0,0,0,637395,3179898,0,8567,0,33,353,0,122,2428,362979,19511,341904,285,2646,58662,186244,124343,4714,1088889,0,1928265,44371,0,23316,6343,437379,452296,11616,0,0,808,509,7694,0,0,44,3683,7162,141979,2232035,0,35712,1102256,211641,2607542,20275,20426184,77182,0,114083,0,1482,140287,21230,14491,0
2021-01-03,51526,59438,100408,8192,17642,160,1640718,160027,0,28504,365768,220265,7914,0,93478,516019,556,199962,650011,10901,3251,716,162661,112645,14805,7733746,172,203051,7051,126345,833,11920,382,26848,606076,0,0,4963,2213,0,618191,96160,1675820,7107,18102,169321,22648,212958,0,12424,0,23974,0,740481,169358,712,5842,88,173331,0,214614,142187,46803,5277,1252,29131,9943,125622,0,49,36772,2712975,0,9571,3800,0,229169,1783896,55168,0,140099,0,127,0,0,138475,0,13784,2455,6358,10127,27,123369,0,0,327995,5754,10340469,765350,1243434,0,597774,101887,441542,2155446,0,13049,245293,0,298208,203563,96802,64264,51965,151343,81388,41,42497,189278,1779,101414,2222,146637,46415,9,0,0,17767,0,119077,13867,7253,13082,0,14794,527,0,1448755,145873,907,1286,49195,443146,19309,25116,261859,832702,2181,6046,3465,90080,0,84024,50716,129404,0,488529,0,253736,799,109073,1018099,477807,1318562,427254,0,144437,0,0,0,0,0,640429,3203743,0,8676,0,33,353,0,124,2428,363061,19697,343870,297,2673,58697,187463,125086,4714,1100748,0,1928265,44774,0,23316,6393,437379,452296,11710,0,0,812,509,8439,0,0,46,3702,7168,143544,2241912,0,35922,1107137,213231,2662699,20823,20636663,77258,0,114230,0,1494,141219,21582,15265,0
2021-01-04,53011,59623,100645,8249,17684,160,1648940,160220,0,28517,367410,220599,7924,0,93766,516929,606,201831,650887,10938,3251,734,163671,112645,15368,7753752,172,204080,7126,126935,842,11949,382,26848,616134,0,0,4963,2229,0,620641,96246,1686131,7107,18153,172436,22800,213319,0,12740,0,24639,0,746714,171436,712,5846,88,175374,0,215080,143464,47087,5279,1252,29521,10138,125919,0,49,36919,2717059,0,9605,3800,0,229763,1796216,55168,0,140526,0,127,0,0,138656,0,13799,2455,6379,10127,27,123398,0,0,328851,5795,10356844,772103,1249507,0,598369,107997,448173,2166244,0,13203,248625,0,299831,204293,96908,64979,51965,151715,81388,41,43118,192139,1779,101975,2224,147997,46986,9,0,0,17767,0,120818,13893,7260,13230,0,14875,531,0,1455219,146309,917,1308,49630,443802,19463,25386,262262,839316,2186,6046,3465,91351,0,84129,51245,129584,0,490476,0,256230,799,109837,1019475,478761,1322947,431623,0,144644,0,0,0,0,0,643559,3226758,0,8848,0,33,360,0,124,2493,363155,19803,346585,313,2673,58721,188099,125858,4714,1113349,0,1958844,45242,0,23316,6493,437379,461961,11799,0,0,815,509,8966,0,0,49,3722,7178,144796,2255607,0,36050,1111631,214732,2721622,21426,20817140,77258,0,114407,0,1497,142228,21993,15829,0
2021-01-05,53105,60283,100873,8308,17756,160,1662730,160544,0,28536,369721,221401,7928,0,93995,517920,643,203104,652735,11018,3304,734,165268,113392,15440,7810400,172,205390,7342,127584,842,11983,383,26848,623384,0,0,4963,2289,0,623101,96310,1702966,7107,18248,173591,22855,214390,0,12964,0,25208,0,759635,173433,712,5854,88,175849,0,216083,144583,47355,5279,1252,29950,10338,126241,0,53,37218,2737884,0,9605,3812,0,232079,1814565,55168,0,141453,0,127,0,0,139419,0,13845,2455,6407,10127,27,123822,0,0,329721,5811,10374932,779548,1255620,0,599126,113322,456139,2181619,0,13246,253571,0,301303,205064,97127,65818,52333,152027,81512,41,43942,195759,1779,102456,2246,149497,47149,9,0,0,17767,0,122845,13930,7349,13388,0,14981,531,0,1466490,146921,947,1308,50054,445439,19542,25887,262784,845822,2186,6097,3500,92705,0,84709,52180,129774,0,492594,0,259770,799,110796,1019475,479693,1330543,436579,0,144852,0,0,0,0,0,648288,3250713,0,8955,0,33,380,0,133,2549,363259,19964,349238,313,2724,58749,191088,128370,4714,1127759,0,1982544,45726,0,23316,6586,469748,465981,11890,0,0,817,509,9331,0,0,49,3770,7186,147061,2270101,0,36407,1117256,216699,2782709,22104,21046195,77295,0,114662,0,1504,143169,22645,17194,0
2021-01-06,53105,61008,101120,8348,17864,163,1676171,160853,0,28546,372190,222200,7945,0,94284,518898,743,204958,655732,11108,3304,755,166981,113392,15440,7873830,172,206392,7563,128178,884,12052,385,26848,631466,0,0,4963,2328,0,625483,96398,1719771,7127,18487,175038,22963,216286,0,13165,0,25781,0,776967,175663,712,5855,105,176378,0,217377,145590,47355,5286,1252,30667,10539,126786,0,53,37549,2763116,0,9641,3812,0,233879,1841228,55168,0,142267,0,127,0,0,140202,0,13845,2455,6407,10127,27,124899,0,0,331768,5832,10395278,788402,1261903,0,599965,121154,463448,2201945,0,13330,259521,0,302856,205933,97398,66686,52333,152438,81656,41,45171,199925,1779,102880,2295,152215,47430,9,0,0,17767,0,125438,13967,7395,13612,0,15111,539,0,1479835,147871,978,1308,50697,447081,19667,26319,263193,853060,2188,6097,3634,94369,0,85328,52967,129888,0,495075,0,264956,799,111694,1022018,480737,1344763,446606,0,145061,0,0,0,0,0,654007,3274615,0,9058,0,33,382,0,149,2549,363377,20156,352120,313,2739,58780,196047,131724,4726,1149591,0,1982544,46248,0,23316,6666,469748,470789,11988,0,0,819,509,9636,0,0,49,3807,7196,149881,2283931,0,36702,1124482,218766,2845265,23048,21299340,77350,0,114908,0,1505,144257,23495,17804,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,916.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,3.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1399,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2062,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2863,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5494,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,1,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6070,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,1,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,2,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8124,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,1,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,2,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9783,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,1,0,0,0,1,0,0,0,10,0,0,19,0,0,0,0,0,0,0,2,0,0,4,0,0,6,0,0,0,0,2,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11871,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,12,1,1,0,0,0,1,0,0,0,10,0,0,19,0,0,0,0,0,0,0,2,0,0,4,0,0,8,0,0,0,0,6,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16607,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,1,1,0,0,0,1,0,0,0,10,0,0,19,0,0,0,0,0,0,0,2,0,0,5,0,0,8,0,0,0,0,6,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19693,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,1,1,0,0,0,1,0,0,0,10,0,0,19,0,0,0,0,0,0,0,2,0,0,5,0,0,11,0,0,0,0,8,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,23680,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,16,1,1,0,0,0,1,0,0,0,11,0,0,25,0,0,0,0,0,0,0,2,0,0,5,0,0,11,0,0,0,0,8,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,27409,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,19,1,1,0,0,0,1,0,0,0,11,0,0,25,0,0,0,0,0,0,0,2,0,0,5,0,0,12,0,0,0,0,8,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,2,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30553,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,23,1,1,0,0,0,1,0,0,0,16,0,0,25,0,0,0,0,0,0,0,2,0,0,5,0,0,12,0,0,0,0,10,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,34075,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,24,1,1,0,0,0,1,0,0,0,16,0,0,25,0,0,0,0,0,0,0,3,0,0,5,0,0,12,0,0,0,0,10,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,36778,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,24,1,1,0,0,0,1,0,0,0,17,0,0,32,0,0,0,0,0,0,0,3,0,0,7,0,0,12,0,0,0,0,13,0,0,0,0
