,US,Brazil,India,Mexico,Italy,United Kingdom,France,Russia,Iran,Spain,Argentina,Colombia,Peru,Germany,Poland,South Africa,Indonesia,Turkey,Belgium,Ukraine,Chile,Romania,Canada,Ecuador,Iraq,Czechia,Netherlands,Pakistan,Hungary,Philippines,Bolivia,Sweden,Switzerland,Egypt,Bulgaria,Bangladesh,Morocco,Portugal,Saudi Arabia,Austria,Greece,Guatemala,China,Tunisia,Bosnia and Herzegovina,Panama,Croatia,Jordan,Israel,Japan,Serbia,Honduras,Moldova,Armenia,Kazakhstan,Algeria,Slovenia,Burma,Azerbaijan,Georgia,North Macedonia,Dominican Republic,Paraguay,Ireland,Afghanistan,Costa Rica,Slovakia,Ethiopia,Nepal,Kenya,Oman,Libya,Sudan,Lebanon,Lithuania,Belarus,West Bank and Gaza,Kyrgyzstan,Kosovo,El Salvador,Denmark,Nigeria,Albania,Venezuela,Kuwait,"Korea, South",Australia,Syria,Montenegro,United Arab Emirates,Latvia,Uzbekistan,Congo (Kinshasa),Finland,Luxembourg,Malaysia,Cameroon,Norway,Senegal,Angola,Zambia,Zimbabwe,Bahrain,Mauritania,Ghana,Jamaica,Mali,Madagascar,Uganda,Belize,Qatar,Haiti,Estonia,Malta,Namibia,Eswatini,Sri Lanka,Uruguay,Bahamas,Mozambique,Nicaragua,Guyana,Cuba,Cote d'Ivoire,Somalia,Trinidad and Tobago,Gambia,Suriname,Cyprus,Cabo Verde,Congo (Brazzaville),Niger,Chad,Rwanda,Equatorial Guinea,Burkina Faso,Andorra,Liberia,Guinea,Sierra Leone,Togo,Gabon,Central African Republic,Thailand,Djibouti,San Marino,Maldives,Guinea-Bissau,Benin,Botswana,Liechtenstein,Vietnam,Iceland,Singapore,New Zealand,Tanzania,Diamond Princess,Mauritius,Papua New Guinea,Taiwan*,Barbados,Antigua and Barbuda,Saint Lucia,Monaco,Brunei,Burundi,Fiji,MS Zaandam,Eritrea,Mongolia,Taipei and environs,Viet Nam,Vatican City,Aruba,South Korea,UK,Bhutan,"Bahamas, The",Timor-Leste,St. Martin,Seychelles,The Gambia,The Bahamas,Taiwan,Guam,Palestine,Saint Vincent and the Grenadines,French Guiana,Macau,Macao SAR,Dominica,East Timor,Laos,Faroe Islands,Jersey,Ivory Coast,"Gambia, The",Martinique,Iran (Islamic Republic of),Gibraltar,Greenland,Grenada,Hong Kong SAR,Hong Kong,Guadeloupe,Holy See,Mainland China,Mayotte,Saint Martin,Republic of Ireland,Saint Kitts and Nevis,Saint Barthelemy,Russian Federation,Cambodia,Reunion,Republic of the Congo,Republic of Moldova,Republic of Korea,Puerto Rico,Czech Republic,Cape Verde,Cayman Islands,Channel Islands,Guernsey,Others,North Ireland,Cruise Ship,Curacao,occupied Palestinian territory
2021-01-01,347894,195411,148994,126507,74621,74237,64892,56798,55337,50837,43319,43495,37680,34145,28956,28887,22329,21093,19581,19437,16660,15841,15644,14051,12824,11711,11624,10258,9667,9248,9175,8727,7704,7687,7604,7576,7425,6972,6230,6261,4881,4820,4782,4730,4086,4064,3961,3851,3356,3342,3250,3160,3004,2828,2765,2762,2728,2697,2670,2528,2510,2416,2262,2248,2191,2185,2250,1937,1864,1681,1499,1487,1468,1479,1589,1433,1418,1356,1336,1327,1322,1294,1181,1030,936,942,909,717,684,671,644,614,591,561,495,474,448,436,410,405,390,369,352,349,335,303,271,261,265,248,245,236,234,219,208,216,208,193,171,167,165,164,146,138,130,127,124,123,127,113,108,106,104,94,86,85,84,83,81,76,68,64,63,64,61,59,48,45,44,42,39,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,350290,195725,149435,126851,74985,74682,65048,57235,55438,50837,43375,43765,37680,34480,29058,29175,22555,21295,19644,19498,16724,15919,15707,14059,12829,11827,11660,10311,9781,9253,9186,8727,7729,7741,7644,7599,7452,7045,6239,6275,4921,4827,4784,4765,4086,4103,4016,3877,3392,3369,3288,3173,3020,2836,2770,2769,2774,2711,2703,2572,2522,2416,2279,2252,2191,2185,2250,1944,1870,1685,1499,1487,1468,1489,1614,1442,1446,1358,1336,1327,1345,1302,1190,1032,937,962,909,723,684,674,668,614,595,561,495,483,448,436,416,407,392,377,352,353,335,303,276,262,274,249,245,236,241,220,213,227,211,201,171,168,165,164,146,138,130,127,124,123,129,113,108,110,104,98,86,86,84,83,81,76,68,64,63,64,61,59,48,45,44,42,39,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,351646,196018,149649,127213,75332,75137,65164,57730,55540,50837,43482,43965,37773,34791,29119,29577,22734,21488,19701,19630,16767,15979,15880,14059,12834,11960,11707,10350,9884,9257,9201,8727,7747,7805,7678,7626,7485,7118,6246,6324,4957,4833,4784,4800,4131,4140,4072,3903,3416,3429,3325,3180,3037,2850,2771,2772,2803,2728,2733,2603,2530,2418,2292,2259,2191,2185,2317,1948,1878,1685,1501,1510,1468,1499,1643,1451,1470,1360,1344,1358,1374,1311,1193,1034,937,981,909,729,689,679,680,614,596,561,495,494,448,436,421,408,394,380,352,358,335,304,278,262,274,250,245,236,244,220,215,231,211,204,175,169,165,164,147,138,130,127,124,123,131,113,108,110,104,101,86,86,84,83,81,76,68,64,63,65,61,59,48,45,44,42,39,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,353502,196561,149850,127757,75680,75547,65549,58203,55650,51078,43634,44187,37830,35748,29161,30011,22911,21685,19750,19712,16767,16057,16098,14069,12844,12070,11770,10409,9977,9263,9219,8727,7918,7863,7835,7650,7538,7196,6256,6357,5011,4835,4787,4862,4131,4197,4126,3919,3445,3472,3364,3181,3054,2864,2775,2777,2838,2744,2761,2628,2550,2419,2305,2265,2237,2229,2521,1950,1885,1686,1502,1526,1468,1512,1950,1461,1490,1360,1344,1364,1389,1318,1199,1038,938,1007,909,734,692,682,692,614,599,565,508,501,448,449,424,408,398,384,352,360,335,304,279,262,274,257,245,236,251,222,218,244,215,211,175,171,165,166,147,138,130,127,124,124,133,113,108,110,104,105,86,86,84,83,81,76,69,66,63,65,61,62,48,45,44,45,41,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,357269,197732,150114,128822,76329,76428,66417,58706,55748,51430,43785,44428,37830,36757,29502,30524,23109,21879,19827,19929,16788,16178,16253,14103,12856,12257,11922,10461,10080,9321,9241,8985,8018,7918,7902,7670,7581,7286,6265,6457,5051,4859,4787,4934,4211,4238,4179,3940,3496,3548,3405,3186,3070,2878,2775,2782,2868,2766,2792,2646,2559,2419,2321,2282,2244,2248,2603,1963,1893,1690,1502,1536,1468,1529,1996,1471,1505,1360,1355,1373,1420,1319,1210,1042,938,1027,909,741,699,685,722,614,599,576,514,509,448,452,428,410,412,418,352,367,335,305,284,262,290,258,245,236,258,226,222,252,217,217,175,171,166,166,147,138,130,127,125,125,134,113,108,110,105,110,86,86,84,83,81,76,69,66,63,66,61,62,48,45,44,45,45,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,361123,198974,150336,129987,76877,77470,66699,59137,55830,51430,43976,44723,37925,37835,30055,31368,23296,22070,19883,20171,16816,16299,16403,14146,12865,12436,12096,10511,10198,9347,9287,8985,8109,7975,7961,7687,7618,7377,6272,6525,5099,4899,4788,5004,4211,4283,4223,3955,3529,3609,3444,3192,3088,2890,2781,2786,2899,2785,2818,2666,2571,2419,2337,2299,2244,2267,2657,1965,1899,1694,1504,1546,1468,1550,2036,1480,1519,1361,1355,1382,1451,1324,1217,1047,938,1046,909,747,705,689,754,615,599,576,517,513,448,465,433,413,417,431,353,373,335,306,285,262,294,260,245,236,261,227,235,261,219,221,175,172,166,166,148,138,130,127,125,126,138,113,108,113,105,112,86,89,84,83,81,76,70,66,63,67,61,62,48,45,44,45,48,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,365317,200498,150570,131031,77291,78632,66700,59628,55933,51675,44122,45067,37925,38987,30241,31809,23520,22264,19936,20334,16913,16410,16595,14158,12869,12621,12182,10558,10325,9356,9304,9262,8178,8029,8017,7718,7645,7472,6278,6568,5146,4928,4788,5052,4211,4321,4266,3968,3552,3674,3479,3200,3106,2901,2781,2792,2922,2799,2845,2694,2581,2423,2352,2307,2253,2286,2717,1966,1903,1702,1505,1558,1468,1566,2076,1489,1536,1363,1363,1390,1488,1330,1223,1052,938,1081,909,755,712,694,790,615,610,584,521,521,448,467,438,413,423,446,353,378,336,306,286,262,297,267,245,236,265,228,240,268,222,231,175,176,166,167,148,138,130,127,125,130,140,113,108,119,105,113,86,89,84,83,81,77,72,66,63,67,61,64,49,45,44,48,48,35,29,29,25,21,13,10,9,7,7,5,5,3,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,368773,201460,150570,132069,77911,79965,67566,60067,56018,51874,44273,45431,38049,40022,30574,32425,23753,22450,19992,20432,16974,16506,16735,14165,12877,12800,12269,10598,10440,9364,9328,9433,8230,8085,8078,7734,7685,7590,6282,6641,5195,4972,4789,5108,4285,4363,4304,3989,3596,3746,3513,3244,3122,2908,2838,2798,2947,2812,2869,2728,2592,2424,2372,2327,2257,2305,2788,1974,1909,1703,1505,1568,1468,1570,2119,1498,1559,1365,1368,1398,1518,1342,1230,1056,940,1100,909,763,718,697,801,616,611,586,527,537,448,472,446,415,441,468,354,382,336,307,290,262,300,271,246,237,270,230,245,279,225,240,175,181,166,167,148,139,130,127,125,131,141,114,108,125,106,115,86,89,84,83,81,77,72,66,63,67,61,64,49,45,44,48,48,35,29,29,25,21,13,10,9,7,7,5,5,4,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,372508,202631,150999,133204,78394,81000,67734,60523,56100,51874,44417,45784,38049,40597,31011,32824,23947,22631,20038,20526,17037,16592,16869,14177,12881,12978,12406,10644,10554,9398,9351,9433,8253,8142,8097,7756,7709,7701,6286,6687,5227,4999,4791,5153,4305,4406,4342,4009,3645,3805,3513,3264,3130,2922,2843,2803,2973,2826,2890,2750,2614,2424,2387,2336,2264,2305,2836,1985,1912,1704,1505,1568,1468,1590,2171,1507,1583,1367,1368,1408,1543,1350,1233,1061,942,1125,909,768,721,702,818,616,611,586,527,542,448,472,459,416,464,483,355,383,336,311,295,262,301,271,246,238,278,232,251,291,229,248,175,187,166,167,148,139,130,128,125,132,147,114,108,126,107,118,86,89,85,83,81,77,72,66,63,67,61,64,49,45,44,48,49,35,29,29,25,21,13,10,9,7,7,5,5,4,3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
